இலக்கம்,பெயர்,அறிமுக வருடம்,அறிமுக படம்,பிறந்த திகதி,பிறந்த இடம்,அறிமுகம்,உள்ளடக்கம்
23,ஸ்ரீபிரியா,,,1956-03-05,"சென்னை, தமிழ்நாடு, இந்தியா","சிறீபிரியா (ஸ்ரீபிரியா) தென்னிந்திய திரைப்பட நடிகை மற்றும் அரசியல்வாதியும் ஆவார். இவர் 1970கள் மற்றும் 1980 களில் முன்னணி வேடங்களில் நடித்த நடிகை ஆவார், 350 திரைப்படங்களுக்கு மேல் நடித்துள்ளார்.[2] இவர் தற்போது கமல்ஹாசனால் தொடங்கப்பட்ட மக்கள் நீதி மய்யம் கட்சியின் தலைமைப் பேச்சாளராகப் பொறுப்பு வகிக்கின்றார்.[3]","சிறீபிரியா தெலுங்கு, கன்னட, மற்றும் மலையாள படங்களில் நடித்துள்ளபோதிலும், இருநூற்றுக்கும் மேற்பட்ட தமிழ் திரைப்படங்களில் நடித்துள்ளார்."
24,ஸ்ரீதேவி,,,1963-08-13,"மீனம்பட்டி,[1] சிவகாசி, தமிழ்நாடு, இந்தியா","ஸ்ரீதேவி (Sridevi, 13 ஆகத்து 1963 - 24 பெப்ரவரி 2018) தமிழ்நாடு, விருதுநகர் மாவட்டம், மீனம்பட்டியில்[6][7] பிறந்து இந்தியத் திரைப்படத் துறையில் புகழ்பெற்ற ஒரு நடிகை ஆவார். 1969ல் துணைவன் திரைப்படத்தில், குழந்தை நட்சத்திரமாக முருகன் வேடத்தில் அறிமுகமானார்.[8]","கதாநாயகியாக இவர் நடித்த முதல் படம் கே. பாலச்சந்தரின் மூன்று முடிச்சு (1976). ஆரம்ப காலத்தில் கமல்ஹாசன், ரஜினிகாந்த்துடன் இணைந்து பல திரைப்படங்களில் நடித்தார்.[9]"
25,சுகன்யா,1991,புது நெல்லு புது நாத்து,1969-07-09,"சென்னை, தமிழ்நாடு, இந்தியா","சுகன்யா (Sukanya பிறப்பு: 9 சூலை , 1969[3]) இந்தியத் திரைப்பட நடிகை ஆவார். இவர் தமிழ், மலையாளம், கன்னடம், தெலுங்கு ஆகிய மொழித் திரைப்படங்களிலும் நடித்துள்ளார். மேலும் இந்தியன் படத்தில் சுகன்யா வயதான கதாபாத்திரத்தில் நடித்ததை பார்த்து ரசித்த நடிகர் திலகம் சிவாஜி கணேசன் அவர்கள் சுகன்யாவுக்கு லேடி கமல்ஹாசன் என்று பெயர் வைத்தார்.[சான்று தேவை]","சென்னையில்  வாழ்ந்த ரமேஷ்–பாரதி இணையரின் மூத்த மகளாக 9 சூலை 1970 ஆம் நாள் பிறந்தார். சுகன்யா தமிழ், மலையாளம், கன்னடம், தெலுங்கு உள்ளிட்ட மொழி திரைப்படங்களில் சுமார் 15 ஆண்டுகளாகப் பணியாற்றி வருகிறார். இவா் திரைக்கு வருவதற்கு முன்பு பொதிகை தொலைகாட்சியில் பெப்சி நிகழ்ச்சி ஒன்றை தொகுத்து வழங்கினாா். அதன் பிறகு சன் டி.வி யில் அந்த நிகழ்ச்சியயை உமா தொகுத்து வழங்கினாா் இவர் அழகு மற்றும் திருப்பதி திருக்குடை திருவிழா என்னும் இரு பக்தி ஆல்பங்களை தொகுத்து வெளியிட்டுள்ளார். இவர் புது நெல்லு புது நாத்து, சின்ன கவுண்டர், திருமதி பழனிச்சாமி, செந்தமிழ் பாட்டு, சின்ன மாப்ளே, சின்ன ஜமீன், வால்டர் வெற்றிவேல், உடன் பிறப்பு￼￼, மகாநதி￼￼, கேப்டன்,￼ டூயட், இந்தியன், சேனாதிபதி, மகாபிரபு￼￼, ஞானப்பழம். ஆகிய திரைப்படங்கள் உட்பட மொத்தமாக ஐந்து முறை சிறந்த நடிகைக்கான பிலிம்பேர் விருதினை வென்றுள்ளார்."
26,வாணிஸ்ரீ,,,1948-08-03,"நெல்லூர், சென்னை மாகாணம், இந்தியா","வாணிஸ்ரீ, (இயற்பெயர் இரத்ன குமாரி, பிறப்பு: ஆகத்து 3, 1948) ஒரு தென்னிந்தியத் திரைப்பட நடிகை ஆவார். இவர் தெலுங்கு மற்றும் தமிழ் படங்களிலும், சில கன்னட படங்களிலும் நடித்துள்ளார்.[1] இவர் மூன்று முறை தென்னிந்திய பிலிம்பேர் விருது, உட்பட நந்தி விருது, தமிழ்நாடு மாநில திரைப்பட விருது[1] ஆகியவற்றைப் பெற்றுள்ளார்.","இவர், இத்தரு அம்மாயிலு (1972), கங்கா மங்கா, சீவனா சோதி(1975), மற்றும் சில்பி கிருட்டிணடு (1978) போன்ற தெலுங்கு படங்களில் இரட்டை வேடங்களில் நடித்துள்ளார்."
27,காஞ்சனா,,,,,"வாணிஸ்ரீ, (இயற்பெயர் இரத்ன குமாரி, பிறப்பு: ஆகத்து 3, 1948) ஒரு தென்னிந்தியத் திரைப்பட நடிகை ஆவார். இவர் தெலுங்கு மற்றும் தமிழ் படங்களிலும், சில கன்னட படங்களிலும் நடித்துள்ளார்.[1] இவர் மூன்று முறை தென்னிந்திய பிலிம்பேர் விருது, உட்பட நந்தி விருது, தமிழ்நாடு மாநில திரைப்பட விருது[1] ஆகியவற்றைப் பெற்றுள்ளார்.","இவர், இத்தரு அம்மாயிலு (1972), கங்கா மங்கா, சீவனா சோதி(1975), மற்றும் சில்பி கிருட்டிணடு (1978) போன்ற தெலுங்கு படங்களில் இரட்டை வேடங்களில் நடித்துள்ளார்."
28,சீதா,,,1968-07-13,"சென்னை, தமிழ்நாடு","சீதா (பிறப்பு: சூலை 23, 1968) தமிழ்த் திரைப்பட நடிகை ஆவார்.[1] 1980 ஆம் ஆண்டுகளில் தன் திரை வாழ்வைத் தொடங்கிய சீதா, பல திரைப்படங்களில் முக்கிய கதாப்பாத்திரங்களில் நடித்துள்ளார். இவர் தமிழ்த் திரைப்பட இயக்குனரும் நடிகருமான பார்த்திபனின் மனைவி ஆவார். அறியப்படாத காரணங்களுக்காக பார்த்திபனுடனான திருமண முறிவை செய்து கொண்டார்.[2] தற்போது தொலைக்காட்சித் தொடர்களிலும் திரைப்படங்களிலும் நடித்துக் கொண்டிருக்கிறார்.",
29,நளினி,,,,"சென்னை, தமிழ் நாடு","நளினி 1980களில் தென்னிந்திய திரைப்படங்களில் நாயகியாக நடித்தவராவார். தமிழ் மற்றும் மலையாள திரைப்படங்களில் மோகன்லால், மம்மூட்டி, விஜயகாந்த், சத்யராஜ் மற்றும்  மோகன் ஆகியோருடன் நாயகியாக நடித்துள்ளார்.[1]",நளினி 1987ல் ராமராஜனை திருமணம் செய்துகொண்டார். இவருக்கு அருணா மற்றும் அருண் ஆகிய குழந்தைகள் உள்ளனர்.
30,சுகாசினி,,நெஞ்சத்தைக் கிள்ளாதே,1961-08-15,"பரமக்குடி, தமிழ்நாடு, இந்தியா","சுஹாசினி (பிறப்பு: ஆகத்து 15, 1961) ஒரு தென்னிந்தியத் திரைப்பட நடிகை, தயாரிப்பாளர், இயக்குனர் ஆவார். இவர் நடிகர் சாருஹாசனின் மகளும் ஆவார். தற்போது இவர் தொலைக்காட்சி நிகழ்ச்சித் தொகுப்பாளராகவும் செயல்பட்டு வருகிறார். சுஹாசினி நடித்த என் பொம்முக்குட்டி அம்மாவுக்கு, பாலைவனச்சோலை, சிந்து பைரவி ஆகிய திரைப்படங்கள் இவருக்குத் திருப்புமுனையாக அமைந்தன. இவர் தமிழ், தெலுங்கு, மலையாளம், கன்னடம் ஆகிய மொழி திரைப்படங்களில் நடித்துள்ளார். மேலும், இந்திரா திரைப்படத்தை இயக்கி உள்ளார். இவர் 1988-ல் இயக்குநர் மணிரத்தினத்தை திருமணம் செய்து கொன்டார். இவர்களுக்கு நந்தன் என்னும் ஒரு மகன் உள்ளார்.",இயக்குநர் மணிரத்தினத்தின் ராவணன் படத்தில் வசனம் எழுதினார்.
31,ராதா,1981,அலைகள் ஓய்வதில்லை,1966-06-03,"திருவனந்தபுரம், கேரளா, இந்தியா","ராதா (மலையாளம்: രാധ; பிறப்பு  	சந்திரிகா 3 ஜூன் 1966)[1] ஒரு இந்தியத் திரைப்பட நடிகை ஆவார். இவர் தமிழ், தெலுங்கு, மலையாளம், கன்னடம் மற்றும் இந்தி உள்ளிட்ட மொழிகளில் சுமார் 100 திரைப்படங்களில் கதாநாயகியாக நடித்துள்ளார்.[2] 1981 முதல் 1991 வரையிலான ஆண்டுகளில் இவர் ஒரு புகழ்பெற்ற முக்கிய நடிகை இருந்தார். இவரது சகோதரியான நடிகை அம்பிகாவும் இதே காலகட்டத்தில் முன்னணி நடிகையாகத் திகழ்ந்தார். இவர்கள் இருவரும் இணைந்து எண்பதுகளில் பல தென்னிந்தியத் திரைப்படங்களில் நடித்துள்ளனர், இவர்கள் இருவரும் இணைந்து ""ஏ. ஆர். எஸ். ஸ்டுடியோஸ்"" என்னும் படத்தயாரிப்பு நிறுவனத்தை தொடங்கினர். இந்நிறுவனம் 2013வது ஆண்டில் ஒரு புதிய உணவக வளாகமாக மாற்றப்பட்டுள்ளது.",ஸ்டார் விஜய் தொலைக்காட்சியில் ’ஜோடி நம்பர் ஒன்’ நடன நிகழ்ச்சியின் 6 & 7 ஆவது பகுதிகளில் நடுவராகப் பொறுப்பாற்றியதன் மூலம் தொலைகாட்சி நிகழ்ச்சிகளில் பங்கேற்றார்.
32,ஷோபனா,,,1970-03-21,"கேரளா, இந்தியா","சோபனா (பிறப்பு - மார்ச் 21, 1970) தென்னிந்தியத் திரைப்பட நடிகை ஆவார். மலையாள மொழித் திரைப்படம் மூலம் திரைப்படத்துறைக்கு அறிமுகமானவர் சோபனா. தெலுங்கு, தமிழ், இந்தி, கன்னடம் மற்றும் ஆங்கிலப் படங்களில் மேலதிகமாக கிட்டத்தட்ட 230 படங்களில் நடித்துள்ளார். இவர் ஒரு புகழ் பெற்ற பரதநாட்டியக் கலைஞரும் ஆவார். இவர் இரண்டு தேசிய திரைப்பட விருதுகள், ஒரு கேரள மாநில திரைப்பட விருதுகள் மற்றும் பல விருதுகளை வென்றுள்ளார். [1][2][3]","சோபனா 1980 மற்றும் 1990 களில் ஒரு முன்னணி நடிகையாக தன்னை நிலைநிறுத்திக் கொண்டார். அடூர் கோபாலகிருஷ்ணன், அரவிந்தன், கைலாசம் பாலசந்தர், ஏ. எம் பாசில், மணிரத்னம், பரதன், உப்பலபதி நாராயண ராவ், மற்றும் பிரியதர்சன் போன்ற இயக்குநர்களுடன் பணியாற்றியுள்ளார். மலையாளத் திரைப்படமான மணிச்சித்ரதாழ் (1993) மற்றும் ஆங்கில திரைப்படமான மித்ர், மை ஃப்ரெண்ட் (2001) ஆகியவற்றில் நடித்ததற்காக, இரண்டு முறை சிறந்த நடிகைக்கான தேசிய திரைப்பட விருதை வென்றார். 1999 ஆம் ஆண்டின் விளைவாக, சோபனா தனது திரைப்படங்களைப் பற்றி மிகவும் தேர்ந்தெடுத்தார். [4][5][6][7]"
33,ஷோபா,,,1962-09-23,"செப்டம்பர் 23, 1962(1962-09-23)","ஷோபா (Shobha, 23 செப்டம்பர் 1962 – 1 மே 1980)[2] தென்னிந்தியத் திரைப்பட நடிகை. தட்டுங்கள் திறக்கப்படும் என்ற தமிழ்த் திரைப்படத்தில் குழந்தை நடிகையாக அறிமுகமான இவர் உத்ராத ராத்திரி என்ற மலையாளத் திரைப்படத்தில் கதாநாயகியாக அறிமுகமானார். இவரின் இயற்பெயர் மகாலட்சுமி. இவர் தனது 17வது வயதில்  பசி தமிழ்த் திரைப்படத்தில் நடித்தமைக்காக தேசிய அளவில் சிறந்த நடிகைக்கான விருதைப் பெற்றார்.","சோபா கே. பி. மேனன் என்பவருக்கும், பிரேமா மேனன் என்பவருக்கும் பிறந்தார். தாயார் 1950களில் மலையாளப் படங்களில் பிரபலமான நடிகையாக விளங்கியவர். சோபா 1966 ஆம் ஆண்டில் சந்திரபாபுவின் இயக்கத்தில் வெளியான தட்டுங்கள் திறக்கப்படும் என்ற தமிழ்த் திரைப்படத்தில் பேபி மகாலட்சுமி என்ற பெயரில்  குழந்தை நடிகையாக அறிமுகமானார்.[3][4] 1967 இல் பி. வேணுவின் இயக்கத்தில் உத்யோகாஸ்தா என்ற மலையாளத் திரைப்படத்தில் பேபி ஷோபா என்ற பெயரில் நடித்தார்.[5] இத்திரைப்படம் பெரும் வெற்றி பெற்று சோபாவிற்கு சிறந்த குழந்தை நடிகை என்ற அங்கீகாரமும் கிடைத்தது.[6] அதன் பின்னர் இவர் பல மலையாள, தமிழ்த் திரைப்படங்களில் நடித்துப் புகழ் பெற்றார். இயக்குனர் பாலு மகேந்திராவைத் திருமணம் புரிந்தார்."
34,ரம்பா,1993,உழவன்,1974-06-05,"விசயவாடா, ஆந்திரப் பிரதேசம், இந்தியா","ரம்பா (பிறப்பு: சூன் 5, 1974) ஓர் இந்தியத் திரைப்பட நடிகை ஆவார். அவருடைய இயற்பெயர் விசயலட்சுமி ஆகும். திரைப்படத்திற்காகத் தனது பெயரை முதலில் அம்ரிதா எனவும், பின் ரம்பா எனவும் மாற்றி வைத்துக்கொண்டார்.","அவர் ஆந்திர மாநிலம் விசயவாடாவைச் சேர்ந்தவர். அவர் தெலுங்கு, தமிழ், மலையாளம், இந்தி, கன்னடம், பெங்காலி மற்றும் போஜ்புரி மொழிகளில் பல வெற்றித் திரைப்படங்களில் நடித்துள்ளார். கலைஞர் தொலைக்காட்சியின் வெற்றி நிகழ்ச்சியான மானாட மயிலாட நிகழ்ச்சியின் நடுவராக பங்குபெற்று புகழ் பெற்றார்."
35,சுவலட்சுமி,,ஆசை,1977-08-19,கொல்கத்தா,"சுவலட்சுமி (பிறப்பு: ஆகத்து 19, 1977) என்பவர் கொல்கத்தாவை பிறப்பிடமாக கொண்ட வங்காள நடிகை ஆவார். இவர் 1994 ஆம் ஆண்டு  முதல் ஆசை (1995), கோகுலத்தில் சீதை (1996), நிலாவே வா (1998), நீ வருவாய் என (1999) போன்ற பல தமிழ்த் திரைப்படங்களில் முன்னனிக் கதாநாயகியாக நடித்துள்ளார். மேலும் சில தெலுங்கு, வங்காள மற்றும் மலையாள மொழிப் படங்களிலும் நடித்துள்ளார்.[2][3][4]",இவர் 19 ஆகத்து 1977 இல் கொல்கத்தாவில் ஒரு குடும்பத்தில் பிறந்தார். இவரின் தந்தையார் கே. சி. முன்ஷி மற்றும் தயார் இந்திராணி தேவி ஆவார். 1998 இல் கல்கத்தா பல்கலைக்கழகத்தில் இளங்கலை சட்டத்துறை பட்டம் பெற்றார்.
36,ஜோதிகா,1999,வாலி,1978-10-18,"மும்பை, இந்தியா","ஜோதிகா (Jyothika பிறப்பு - அக்டோபர் 18, 1978, மும்பை), இந்தியத் திரைப்பட நடிகை ஆவார். இவரது இயற்பெயர் ஜோதிகா சாதனா. தமிழ், தெலுங்கு, இந்தி மொழித் திரைப்படங்களில் நடித்துள்ளார். நடிகை நக்மா இவரது மாற்றுத் தந்தை சகோதரி ஆவார். பொதுவான தாய் சீமா. 
நடிகர் சூர்யாவை விரும்பி செப்டம்பர் 11, 2006 அன்று திருமணம் செய்து கொண்டார்.[1] இவர்களுக்கு தியா என்ற பெண் குழந்தையும் தேவ் என்ற ஆண் குழந்தையும் உள்ளனர்.",
37,நக்மா,1994,காதலன்,1974-12-25,"மும்பை, இந்தியா","நந்திதா மொராஜி (நர்மதா சாதனா) அல்லது பிரபலமாக நக்மா (இந்தி: नघमा) தமிழ், இந்தி, மற்றும் தெலுங்கு திரைப்பட நடிகையாவார். 1993 -1997 இற்கு இடைப்பட்ட காலத்தில் இவர் தமிழ்த் திரைப்படத்துறையில் முக்கிய கதாநாயகியாக இருந்தார்[1]. இவரது தாயார் இஸ்லாம் மதத்தையும், தந்தையார் இந்து மததையும் சேர்ந்தவராவார். இவர் நடிகை ஜோதிகாவின் சகோதரியாவார்.[2] இவர் நடிப்பை பாலிவூட்டில் ஆரம்பித்தார் எனினும் சிலத் திரைப்படங்களுக்குப் பின் தென்னிந்திய திரைப்படங்களில் நடிக்கத் தொடங்கினார். இங்கு இவருக்கு நல்ல வரவேற்புக் கிட்டியது. இவர் இந்தி, மராத்தி, தமிழ், தெலுங்கு, மற்றும் ஆங்கில மொழிகளில் தேர்ச்சிப் பெற்றவர் ஆவார். மேலும் இவர் இந்தி, தமிழ், தெலுங்கு, கன்னடம், மலையாளம், வங்காளி, போஜ்பூரி, பஞ்சாபி, மராத்தி ஆகிய மொழி திரைப்படங்களிலும் நடித்துள்ளார்.[3]",தமிழில் ரஜினிகாந்துடன் பாட்ஷா படத்தில் மற்றும் காதலன் திரைப்படத்தில் பிரபுதேவாவுடன் நடித்துப் புகழ் பெற்றார். காதலன் திரைப்படத்துக்காக இவருக்கு பிலிம்பேர் விருது வழங்கப்பட்டது.
38,சிம்ரன்,1997,ஒன்ஸ்மோர்,1976-04-04,"மும்பை, மகாராஷ்டிரா, இந்தியா","சிம்ரன் (ஆங்கில மொழி: Simran, பிறப்பு:ஏப்ரல் 4, 1976)[1][2][3] இந்தியத் திரைப்பட நடிகை ஆவார்.","சிம்ரனின் இயற்பெயர் ரிஷிபாமா இவர் மும்பையில் பஞ்சாபி குடும்பத்தில் பிறந்தவர். தூர்தர்ஷனின் மெட்ரோ சானலில் சூப்பர் ஹிட் முகாபுலா என்ற நிகழ்ச்சியைத் தொகுத்து வழங்கியதன் மூலம்  இந்தி திரையுலகில் நுழைந்தார். 1995-இல் இவரது முதல் படம் சனம் ஹர்ஜாய் தோல்விப் படமாக அமைந்தது. 1996 ஆம் ஆண்டின் இறுதியில் வெளியான தேரே மேரே சப்னே இவரது முதல் வெற்றிப் படமாகும். இதற்கிடையில் மலையாளத்தில் மம்முட்டியுடன் இந்திரபிரஸ்தம், கன்னடத்தில் சிவராஜ்குமாருடன் சிம்ஹடா மாரி படத்திலும்  அப்பாய் காரி பெல்லி என்ற தெலுங்குப் படத்திலும் நடித்தார். இவற்றுக்குப் பிறகு 1997 ஆம் ஆண்டு ஒன்ஸ்மோர் திரைப்படத்தின் மூலம் தமிழ்த் திரைப்படத்துறைக்கு அறிமுகமானார்.[4]"
39,மாளவிகா,1999,உன்னைத் தேடி,1979-07-19,"பெங்களூர், இந்தியா","ஸ்வேதா கோனுர் (பிறப்பு: சூலை 19, 1979)[1][2] என்ற இயற்பெயரைக் கொண்ட மாளவிகா எண்ட் லவலீ மாடல் அழகியாக இருந்து பின்னர் திரைப்பட நடிகையானார்.[3] இவர் தமிழ், இந்தி, தெலுங்கு திரைப்படங்களில் நடித்துள்ளார். சுந்தர் சி. இயக்கத்தில் வெளியான திரைப்படமான உன்னை தேடி திரைப்படத்தில் அஜித்குமாருடன் முக்கிய வேடத்தில் நடித்து தமிழ் திரைப்படத்துறையில் அறிமுகமானார். 2002-2003 இல் இவர் நடித்த தமிழ்த் திரைப்படங்கள் வெற்றியளிக்காததால் தெலுங்குத் திரைப்படங்களில் நடிக்கச் சென்றார். 2004 ஆம் ஆண்டு சூர்யா நடித்த பேரழகன் திரைப்படத்தில் ஒரு பாடலுக்கு நடனமாடியதன் மூலம் மறுபடியும் தமிழ் திரைப்படங்களில் நடிக்க தொடங்கினார். வசூல்ராஜா எம்.பி.பி.எஸ் திரைப்படத்தில் கமலுடன் நடித்தார். பின்னர் பாலிவுட்டில் சீ யூ எட் 9 திரைப்படத்திலும் நடித்தார். இவர் ரோஜா வனம், வெற்றிக் கொடி கட்டு, சந்திரமுகி, வியாபாரி, திருட்டு பயலே ஆகிய படங்களில் நடத்துள்ளார்.[4] 2007-ல் சுமேஷ் என்பவரை திருமணம் செய்து கொண்டார்.","தற்போது 38 வயதாகும் இவருக்கு ஒரு ஆண் குழந்தையும், ஒரு பெண் குழந்தையும் உள்ளனர். கணவருடன் மகிழ்ச்சியாக குடும்பம் நடத்தி வருகிறார். நடிப்பதை நிறுத்திக் கொண்டார்."
40,சங்கீதா,,,,,சங்கீதா (English:sangita) ஒரு இந்திய நடிகை. இவர் தமிழிலும் மலையாளத்திலும் நடித்துள்ளார். சங்கீதா குழந்தை நட்சத்திரமாக அறிமுகமாகி கதாநாயகி வரை 50-க்கும் மேற்பட்ட படங்களில் நடித்துள்ளார். மகாநதி (திரைப்படம்) படத்தில் பெரிய காவேரியாக நடித்துள்ளார். இவர் பூவே உனக்காக படத்தின் மூலமும் எல்லாமே என் ராசாதான் படத்தின் மூலமும் பிரபலமானவர்,இவர் ஒளிப்பதிவாளர் மற்றும் இயக்குனர் சரவணனனை திருமணம் செய்துகொண்டவர். திருமணத்திற்கு பிறகு நடிப்பதை நிறுத்திக் கொண்டார். இவருக்கு சாய் தேஜாஸ்வினி என்ற மகள் உள்ளார். இவரது கணவர் இயக்கிய சிலம்பாட்டம் படத்தில் உதவியாக இருந்துள்ளார்.
41,ஷாலினி,1997,காதலுக்கு மரியாதை,1979-11-20,"திருவல்லா, கேரளா, இந்தியா","சாலினி (பிறப்பு: நவம்பர் 20, 1979) தென்னிந்தியத் திரைப்பட நடிகை ஆவார். இவர் பேபி சாலினி என்ற பெயரில் குழந்தை நட்சத்திரமாகத் தமிழ்த் திரைக்கு அறிமுகமானார். தனது மூன்றாவது வயதில் நடிக்கத் தொடங்கிய இவர் தமிழ், மலையாளம் ஆகிய மொழிகளில் ஏறத்தாழத் தொண்ணூறு படங்களில் நடித்துள்ளார். தமிழ் திரைப்பட நடிகர் அஜித் குமாரைத் திருமணம் செய்த பின்னர் நடிப்பிலிருந்து விலகினார்.",இவர் மலையாளத்தில் 25-க்கு மேற்பட்ட திரைப்படங்களில் குழந்தை நட்சத்திரமாக நடித்துள்ளார். பின்வருபவை இவர் குழந்தை நட்சத்திரமாக நடித்த தமிழ்த் திரைப்படங்களாகும்.
42,லைலா,1999,கள்ளழகர்,1980-10-24,"கோவா, இந்தியா","லைலா (பிறப்பு: அக்டோபர் 24, 1980)[1] தென்னிந்தியத் திரைப்பட நடிகை ஆவார். தமிழ் திரையுலகில் கள்ளழகர் திரைப்படத்தின் மூலம் லைலா அறிமுகமானார். தமிழ்திரைப்பட முன்னணி  நடிகர்களான விஜயகாந்த், அஜித், சூர்யா, விக்ரம், பிரசாந்த், சரத்குமார் ஆகியோருடன் நடித்துள்ளார். தில், தீனா, மௌனம் பேசியதே ஆகிய திரைப்படங்கள் இவருக்கு நல்ல பெயரை பெற்று தந்துள்ளது. இவர், ஈரான் நாட்டு தொழில் அதிபரான மெஹதீன் என்பவரை காதலித்து 2006 ஆம் ஆண்டில் திருமணம் செய்து கொண்டார். திருமணத்திற்கு பின் சினிமாவில் நடிக்கப்போவதில்லை என கூறினார்.[2]",
43,ஸ்னேகா,2002,விரும்புகிறேன்,1981-10-12,"மும்பை, இந்தியா[1]","சினேகா எனப்படும் சுகாசினி இராசாராம் நாயுடு தென்னிந்திய திரைப்பட நடிகையாவார். இவர் தமிழ், தெலுங்கு, மலையாளத் திரைப்படங்களில் நடித்து வருகின்றார். இவரது ரசிகர்கள், குடும்பப் பாங்கான முகத்தோற்றத்துக்காகவும் நடிப்புத் திறனுக்காகவும் இவரை விரும்புகின்றனர். 2001 ஆம் ஆண்டு இங்கே ஒரு நீலப்பக்சி என்ற மலையாள மொழி திரைப்படத்தின் மூலம் அறிமுகமானார். 2001 ஆம் ஆண்டு என்னவளே திரைப்படம் மூலம் தமிழ்த் திரைப்படத்துறைக்கு அறிமுகமானார்.","சினேகா மும்பையில் இராசாராம் பத்மாவதி தம்பதியினருக்கு சுகாசினியாகப் பிறந்தார்[1].அவளுடைய குடும்பம் அவளுடைய பிறப்புக்குப் பிறகு  ஐக்கிய அரபு அமீரகத்தில் ஷார்ஜாக்குச் சென்றது, அங்கு அவர் ஓன் ஆங்கில உயர்நிலை பள்ளியில் படிப்பை முடித்தார் .  பின்னர் அவர் குடும்பத்தினர் தமிழ்நாட்டில் உள்ள பண்ருட்டி என்னும் ஊரில்  குடியேறினர். அங்கே இவருக்கு சொந்தமாக திருமண மண்டபம் ஒன்றும் உள்ளது.[சான்று தேவை]"
44,பூஜா,2003,ஜே ஜே,1981-06-25,கொழும்பு இலங்கை,"பூஜா தமிழ், சிங்களத் திரைப்படங்களில் நடித்துள்ள நடிகையாவார். இவர் மணிரத்னத்தின் நேற்று இன்று நாளை நிகழ்ச்சியிலும் பங்குப்பெற்றிருக்கிறார். ஜே ஜே திரைப்படத்தின் மூலம் தமிழ் திரைப்படத்துறைக்கு அறிமுகமானார்.",
45,கௌதமி,1988,குரு சிஷ்யன்,1965-07-02,"ஸ்ரீகாகுளம்,சிறீகாகுளம் மாவட்டம், ஆந்திரப் பிரதேசம், இந்தியா","கௌதமி (பிறப்பு 2 ஜூலை 1965)  இந்தியத் திரைப்பட நடிகையாவார். இவர் தமிழ், தெலுங்கு, மலையாளம், இந்தி மற்றும்கன்னடம் உள்ளிட்ட பல்வேறு மொழித் திரைப்படங்களில் நடித்துள்ளார். தொலைக்காட்சி தொகுப்பாளர்,   ஆடை வடிவமைப்பாளர், தொலைக்காட்சி நாடக நடிகை, தொலைக்காட்சி நிகழ்ச்சி நடுவர் என பல்வேறு துறைகளில் வேலை செய்துள்ளார்.[2][3]",ஆந்திராவின் ஸ்ரீகாகுளம் மாவட்டத்தில் சேஷகிரி ராவ் -  வசுந்தரா தேவி இணையரின் மகளாக 2 ஜூலை 1965ஆம் நாள் பிறந்தார்.[4]
46,ரம்யா கிருஷ்ணன்,,,1970-09-15,"சென்னை,","ரம்யா கிருஷ்ணன் ஒரு தென்னிந்தியத் திரைப்பட நடிகையாவர். இவர் தமிழ், தெலுங்கு, மலையாளம், கன்னடம் மற்றும் ஹிந்தி ஆகிய 5 மொழிகளில் நடித்துள்ளார்.",ரம்யா கிருஷ்ணன் 1970 செப்டம்பர் 15 இல் சென்னையில் ஓர் பிராமணக் குடும்பத்தில் பிறந்தார். இவர் பரதநாட்டியம் குச்சுப்புடி நடனம் பயிற்சி எடுத்துப் பல மேடைகளில் நிகழ்ச்சிகளை நடத்தியுள்ளார்.
47,திரிஷா,2002,லேசா லேசா,1983-05-04,"சென்னை ,  தமிழ் நாடு","திரிஷா கிருஷ்ணன் (பிறப்பு - மே 4, 1983, சென்னை), தமிழ், தெலுங்குத் திரைப்பட நடிகை ஆவார். சாமி, கில்லி போன்ற திரைப்படங்களில் நடித்ததன் மூலம் அறியப்படுகிறார். திரைப்படங்களில் நடிக்கத் துவங்கும் முன் சென்னை அழகியாக 1999ஆம் ஆண்டு தேர்ந்தெடுக்கப்பட்டார்.",
48,ரீமா சென்,2001,மின்னலே,1981-10-29," கொல்கத்தா, இந்தியா","ரீமா சென் இந்திய திரைப்பட நடிகையும் மாடல் அழகியுமாவார். முதலாவதாக தெலுங்கு திரைப்படங்கள் இரண்டில் நடித்தார். மின்னலே திரைப்படம் மூலம் தமிழ்த் திரைப்படத்துறைக்கு அறிமுகமானார். தெலுங்கு, தமிழ் திரைப்படங்களுக்கு மேலதிகமாக இந்தி, வங்காள மொழித் திரைப்படங்களிலும் நடித்துள்ளார்.",இவர் 2012ஆம் ஆண்டு மும்பை தொழிலதிபரான ஷிவ் கரன்சிங் எப்வரை மணந்தார். இந்த இணையருக்கு ருத்ரவீர் சிங் என்ற மகன் உள்ளார்.
